description,prob_type
LABOR AND MATERIALS TO REPLACE MAKE UP VALVE ON BOILER AT EASTERWOOD RECREATION CENTER - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED,HVAC
LABOR AND MATERIALS TO REPAIR THE HEAT AT HILTON RECREATION CENTER - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED,HVAC
"Replace bulbs at the following locations: front of building rear of building , near storage closet.",Electrical
Room 511 Mitchell too warm,HVAC
Room 302 East too cold,HVAC
"CHECKED HEAT UNITS, CLEANED AROUND THE EXTERIOR OF THE BLDG., CHECKED SUMP PUMP, UNCLOGGED SINK IN LADIES RESTROOM, REPLACED LIGHT & BALLAST IN OFFICE, REMOVED DECEASED RODENT, MOP WATER OFF FLOOR IN MAIN HALLWAY, RESET BREAKER IN SCHOOL HEALTH OFFICE & REPAIRED LOCK",HVAC
"Community has reported a stream of water spraying in the air from the roof of the building, need urgent response...",Plumbing
Please provide labor and material to repair the exhaust fan in the men restroom and the electric heater.,HVAC
CHECKED HEAT UNITS & SUMP PUMP,HVAC
"UNCLOGGED DRAIN IN RESTROOM, REPLACED LIGHTS",Plumbing
"CHECKED HEAT UNITS & SUMP PUMP, CLEANED AROUND THE EXTERIOR OF THE BLDG., GATHERED ALL RECYCLING MATERIALS, UNCLOGGED TOILET IN LADIES ROOM, REPLACED LIGHT & BALLAST IN ADMINISTRATIVE CONFERENCE ROOM",HVAC
"Please provide labor and material to  inspect and repair water leak around flue vent,  the hanging Reznor heaters was installed under work order # 112734  by J.F. Fischer in October 2018. 
Assign to J. F. Fischer Jason.",HVAC
Provide labor to make repairs to leak in hallway garage,Plumbing
light bulb,Electrical
"Water leak in driveway pad at WATF, investigate water main leak for repair, causing a hazardous situation when frozen.
Attention John Habicht, Steve, Terrel",Plumbing
"The HVAC unit in the office of Sgt. Thomas is blowing out cold air there is no heat in her office.
Contact: Doug Kerr",HVAC
Provide labor & material to replace busted coil - unit coil needs replacing.,HVAC
Please investigate possible leaks that are causing damage to interior of Curran Room,Plumbing
The conference room needs lights; down by the copier machine; and the door window. All need new bulbs.,Electrical
The toilet is loose and becoming detached from the floor.,Plumbing
The toilet is coming loose from the floor.,Plumbing
Work order was placed last week and it was repaired but it is leaking again.,Plumbing
when bathroom is in use it leaks down into the the bathroom below.,Plumbing
Bathroom is flooded.,Plumbing
"Please provide labor & materials to repair the air handler unit in the kennel (Rover Refuge) its leaking

Claire Jensen is the onsite contact and can be reached at 410-396-4695

Olivia 1/25/18
Assigned to Fischer",HVAC
"Water leak driveway pad at WATF, investigate water main leak for repair, causing a hazardous situation when frozen. Attention John Habicht, Steve, Terrel

Tonya Smith 1/24/2019
Assigned to Heil Plumbing",Plumbing
"Repair damaged water lines and point of use water heaters in outside restroom.
Req. 74219
Officer in charge
410-396-9982

Wycliffe Eccles

J.F> FIscher notified.   Spoke to Chuck Lapaglia.",Plumbing
"please send someone to check the a/c units I-19, I-20 & I-21.  The units are blowing cool air. please send someone to investigate. contact person Loretta Brown 6-3315",HVAC
"There is no heat in the office which is located just before entering the atrium coming from the headquarters. 
Contact: Doug Kerr 2575",HVAC
Provide labor & material to install 4 outlets for temporary use for equipment.,Electrical
Provide labor & material to install 4 outlets for temporary use for equipment.,Electrical
Provide labor & material to install 4 outlets for temporary use for equipment.,Electrical
Provide labor & material to install 4 outlets for temporary use for equipment.,Electrical
Provide labor & material to install 4 outlets for temporary use for equipment.,Electrical
Provide labor and materials to make repairs to 2 busted water lines,Plumbing
Provide labor and materials to make repairs to 2 busted water lines,Plumbing
"A large light post in the front yard is not lighting, it need to be checked the electrical and a new light.  contact person Malcolm Denton  6-1418 or 443-835-9256.  Thank you. (see photo)",Electrical
"Wall units aren't functioning to optimal capacity (heat).

Tonya Smith 1/24/2019
Assigned to Fischer",HVAC
"Please have horton mechanical come out Saturday 1/26/19 to do a water shutdown of the building so that contractors can repair a leak in the second floor kitchenette area

Tonya Smith 1/24/2019
Assigned to Fischer",Plumbing
"Please have the lighting cover replaced in courtroom 329 that is missing , approximately 4'x4' round frosted plastic light cover",Electrical
The drain covers in front of showers 4 and 5 needs to be secured.,Plumbing
There is an entire bank of lights out in the COP office leading into Legal. Please repair. There are several lights throughout not working as well. Please fix all non-working lights in these areas,Electrical
There is an entire bank of lights out in the COP office leading into Legal. Please repair. There are several lights throughout not working as well. Please fix all non-working lights in these areas,Electrical
There is an entire bank of lights out in the COP office leading into Legal. Please repair. There are several lights throughout not working as well. Please fix all non-working lights in these areas,Electrical
There is an entire bank of lights out in the COP office leading into Legal. Please repair. There are several lights throughout not working as well. Please fix all non-working lights in these areas,Electrical
Please replace the burned out bulbs in this location,Electrical
"Check-in Trailer- Under the canopy , 2 lights need to be replaced",Electrical
with numerous attempts to unclog this toilet with a plunger and snake it still continues to clog.,Plumbing
"PROVIDE REPAIRS FOR BOILER CONTROLS.BOILER IS CUTTING OFF ON SAFETY BEFORE REACHING SET TEMPERATURE.LIBRARY
IS CLOSED DUE TO LACK OFF HEAT

Tonya Smith 1/24/2019
Assigned to East Coast Welding",HVAC
"One of  Deer Creek's hvac units has stopped working. Contact Mr. Dave Gainey at 410-989-0596 to arrange access.

Tonya Smith 1/24/2019
Assigned to Denver-Elek",HVAC
"URGENT:  Repair leaking radiator pipe in hallway at 2331 N Fulton Ave asap.
Contact person is Ralph Hall (410-396-7870).

Tonya Smith 1/24/2019
Assigned to Fischer",Plumbing
"LABOR AND MATERIALS TO REPLACE THE DAMAGED THERMOMETER ON THE HOT WATER BOILER AT CHERRY HILL AQUATIC CENTER (INDOOR) - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Tonya Smith 1/23/2019
Assigned to Fischer",HVAC
We need to repair or replace the ceiling lights in the ladies bathroom located in building 2 trailers.  contact person Tina Walker 6-1418.  Thank you.,Electrical
"we would like to have the heating units in the Ladies and Men's bathroom checked a.s.a.p., located in Building 2 trailer.  contact person Tina Walker 6-1418.  Thank you.",HVAC
"There are several outlets that need to be repaired and working, 3 outlets in the lunch room area, 1 outlet in the Ladies bathroom and 1 outlet in the Men's bathroom.  contact person Tina Walker 6-1418.  Thank you.",Electrical
Please provide labor and material to repair the leak in the IT room,Plumbing
